Name,Sector,Industry,Market cap (mil),,,
Toyota Motor Corp TYT,Consumer Cyclical,Auto Manufacturers,"JPY 35,162,309.11",,,
Konami Group Corp KNM,Communication Services,Electronic Gaming & Multimedia,"JPY 1,928,307.30",,,
Ricoh Co Ltd RICO,Industrials,Business Equipment & Supplies,"JPY 899,996.80",,,
Maruwa Co Ltd MAW,Technology,Electronic Components,"JPY 456,501.38",,,
Samsung Electronics Co Ltd SMSD,Technology,Consumer Electronics,"USD 316,715.33",,,
Samsung Electronics Co Ltd SMSN,Technology,Consumer Electronics,"USD 316,715.33",,,
Samsung Electronics Co Ltd BC94,Technology,Consumer Electronics,"USD 316,715.33",,,
Reliance Industries Ltd RIGD,Energy,Oil & Gas Refining & Marketing,"USD 237,636.43",,,
International Business Machines Corp IBM,Technology,Information Technology Services,"USD 197,024.39",,,
AstraZeneca PLC AZN,Healthcare,Drug Manufacturers - General,"GBX 183,801.98",,,
Shell PLC SHEL,Energy,Oil & Gas Integrated,"GBX 160,852.81",,,
Meikles Ltd MIK,Consumer Cyclical,Department Stores,"USD 146,196.17",,,
TotalEnergies SE TTE,Energy,Oil & Gas Integrated,"EUR 143,105.06",,,
HSBC Holdings PLC HSBA,Financial Services,Banks - Diversified,"GBX 122,598.75",,,
Unilever PLC ULVR,Consumer Defensive,Household & Personal Products,"GBX 120,738.73",,,
BHP Group Ltd BHP,Basic Materials,Other Industrial Metals & Mining,"GBX 104,406.50",,,
China Yangtze Power Co Ltd CYPC,Utilities,Utilities - Renewable,"USD 97,707.32",,,
State Bank of India SBIA,Financial Services,Banks - Regional,"USD 84,157.87",,,
State Bank of India SBID,Financial Services,Banks - Regional,"USD 84,157.87",,,
Rio Tinto PLC RIO,Basic Materials,Other Industrial Metals & Mining,"GBX 79,757.84",,,
Hon Hai Precision Industry Co Ltd HHPD,Technology,Electronic Components,"USD 76,918.80",,,
Hon Hai Precision Industry Co Ltd HHPG,Technology,Electronic Components,"USD 76,527.82",,,
Diageo PLC DGED,Consumer Defensive,Beverages - Wineries & Distilleries,"USD 74,800.38",,,
RELX PLC REL,Industrials,Specialty Business Services,"GBX 67,363.59",,,
BP PLC BP.,Energy,Oil & Gas Integrated,"GBX 66,622.69",,,
GSK PLC GSK,Healthcare,Drug Manufacturers - General,"GBX 65,426.54",,,
British American Tobacco PLC BATS,Consumer Defensive,Tobacco,"GBX 62,406.90",,,
Larsen & Toubro Ltd LTOD,Industrials,Engineering & Construction,"USD 60,520.20",,,
Banco Santander SA BNC,Financial Services,Banks - Diversified,"GBX 59,766.31",,,
Diageo PLC DGE,Consumer Defensive,Beverages - Wineries & Distilleries,"GBX 56,665.26",,,
Banco Bilbao Vizcaya Argentaria SA BVA,Financial Services,Banks - Diversified,"EUR 56,318.83",,,
London Stock Exchange Group PLC LSEG,Financial Services,Financial Data & Stock Exchanges,"GBX 55,023.98",,,
National Grid PLC NG.,Utilities,Utilities - Regulated Electric,"GBX 51,326.03",,,
CRH PLC CRH,Basic Materials,Building Materials,"GBX 47,814.04",,,
Glencore PLC GLEN,Basic Materials,Other Industrial Metals & Mining,"GBX 47,230.46",,,
Lloyds Banking Group PLC LLD2,Financial Services,Banks - Regional,"USD 46,991.49",,,
Lloyds Banking Group PLC LLD6,Financial Services,Banks - Regional,"USD 46,991.49",,,
Lloyds Banking Group PLC LLD5,Financial Services,Banks - Regional,"USD 46,991.49",,,
Lloyds Banking Group PLC LLD1,Financial Services,Banks - Regional,"USD 46,991.49",,,
Hyundai Motor Co HYUD,Consumer Cyclical,Auto Manufacturers,"USD 45,889.37",,,
Hyundai Motor Co HYUP,Consumer Cyclical,Auto Manufacturers,"USD 45,889.37",,,
Hyundai Motor Co HYUO,Consumer Cyclical,Auto Manufacturers,"USD 45,889.37",,,
Axis Bank Ltd AXBA,Financial Services,Banks - Regional,"USD 45,878.39",,,
Axis Bank Ltd AXB,Financial Services,Banks - Regional,"USD 45,878.39",,,
Rolls-Royce Holdings PLC RR.,Industrials,Aerospace & Defense,"GBX 44,650.71",,,
Compagnie de Saint-Gobain SA COD,Industrials,Building Products & Equipment,"EUR 42,222.83",,,
Compass Group PLC CPG,Consumer Cyclical,Restaurants,"GBX 41,330.45",,,
BAE Systems PLC BA.,Industrials,Aerospace & Defense,"GBX 38,529.12",,,
Mahindra & Mahindra Ltd MHID,Consumer Cyclical,Auto Manufacturers,"USD 37,274.13",,,
China Pacific Insurance (Group) Co Ltd CPIC,Financial Services,Insurance - Life,"USD 36,912.12",,,
Haleon PLC HLN,Healthcare,Drug Manufacturers - Specialty & Generic,"GBX 35,607.50",,,
Lloyds Banking Group PLC LLOY,Financial Services,Banks - Regional,"GBX 35,598.54",,,
Experian PLC EXPN,Industrials,Consulting Services,"GBX 34,635.11",,,
Coca-Cola Europacific Partners PLC CCEP,Consumer Defensive,Beverages - Non-Alcoholic,"EUR 33,515.12",,,
Barclays PLC BARC,Financial Services,Banks - Diversified,"GBX 32,570.27",,,
Reckitt Benckiser Group PLC RKT,Consumer Defensive,Household & Personal Products,"GBX 31,736.74",,,
Ferguson Enterprises Inc FERG,Industrials,Industrial Distribution,"GBX 31,664.68",,,
Flutter Entertainment PLC FLTR,Consumer Cyclical,Gambling,"GBX 30,976.17",,,
Cathay Financial Holding Co Ltd CFHS,Financial Services,Insurance - Life,"USD 29,885.40",,,
NatWest Group PLC NWG,Financial Services,Banks - Regional,"GBX 28,427.03",,,
