industry_sector,companies
Electric Appliances,121
Retail Trade,115
Wholesale Trade,115
Chemicals,111
Services,108
Machinery,105
Construction,68
Foods,61
Banks,49
Transportation Equipment,41
Other Products,35
Land Transportation,33
Real Estate,32
Pharmaceutical,30
Precision Instruments,26
Metal Products,26
Glass and Ceramics Products,23
Nonferrous Metals,20
Iron and Steel,20
Textiles and Apparels,20
Electric Power and Gas,18
Securities and Commodities Futures,17
Other Financing Business,15
Warehousing and Harbor Transportation Service,13
Rubber Products,11
Pulp and Paper,9
Insurance,7
Oil and Coal Products,5
Marine Transportation,5
Mining,4
"Fishery, Agriculture and Forestry",4
Air Transportation,2
